OID_,ENTITY_ID,CLASS_CODE,SMRS,COUNTY,TOWNLAND,COUNTY_ID,ZONE_ID,ITM_E,ITM_N,LATITUDE,LONGITUDE,MONUMENT_T,FIRST_EDIT,LATEST_EDI,WEBSITE_LI,WEB_NOTES
56,CO12544,MUSC,CO092-001001-,CORK,DERRYNAFINCHIN,5,R107506,504724.000000000000000,562240.000000000000000,51.804301582000001,-9.381550296000000,Stone circle - multiple-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO092-001001-,"On W-facing slope near N end of narrow valley of Coomhola river. Circle incomplete, contains considerable amount of fill. May have consisted of eleven, or less likely, thirteen stones. Nine stones survive; five prostrate; indicate circle c. 8m in diamete"
57,CO12548,FISC,CO092-004----,CORK,CAPPABOY BEG,5,R107454,508076.000000000000000,561302.000000000000000,51.796432830999997,-9.332710448000000,Stone circle - five-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO092-004----,"In tillage on shoulder of SE-facing slope near head of Owvane river valley. Five stones are 0.5m to 1.1m L, 0.35m to 0.6m T and 0.6m to 0.9m H. Internal measurement along main axis, aligned NE-SW, is 2.3m. (Ó Nualláin 1984, 39, no. 77)  The above descr"
58,CO12566,FISC,CO092-016001-,CORK,ILLANE,5,R107369,504561.000000000000000,559566.000000000000000,51.780243421999998,-9.383177699000001,Stone circle - five-stone, ,'Stone Circles' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO092-016001-,"On top of bog-covered ridge overlooking Coomhala river valley. Circle complete; stones are 0.7m to 1.2m L, 0.15m to 0.6m T and 0.8m to 1.2m H. Internal measurement along main axis, aligned NE-SW, is 2.5m. Cairn (CO092-01602-) c. 5.5m to E. (Ó Nualláin"
59,CO12605,FISC,CO092-051----,CORK,COUSANE,5,R107197,511170.000000000000000,556784.000000000000000,51.756329104999999,-9.286710686999999,Stone circle - five-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO092-051----,"On low knoll at W end of Cousane gap, near head of Owngar river. Circle complete; stones are 1.1m to 2.7m L, 0.35m to 0.7m T and 0.4m to 0.7m H. Internal measurement along main axis, aligned E-W, is 3.15m. Standing stones (CO092-050---) once stood 160m t"
60,CO12640,MUSC,CO093-013----,CORK,COOLMOUNTAIN,5,R107441,519159.000000000000000,560899.000000000000000,51.794522071999999,-9.171974412000001,Stone circle - multiple-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO093-013----,"In pasture on NE-facing slope in valley of headwaters of Caha river. Appears to have consisted of possibly eleven stones; diameter c. 9m. Two stones survive, 4m apart. N stone is 0.8m by 0.3m and 1.1m H; second stone is 1m x 0.4m and 1m H. (O Nualláin 1"
61,CO12769,MUSC,CO094-046----,CORK,"GORTROE (Carbery E. (W.D) By., Kilmichael Par.)",5,R107427,525790.000000000000000,560609.000000000000000,51.792834397999997,-9.075800041000001,Stone circle - multiple-stone, ,'Stone Circle' (1904), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO094-046----,"On small level patch of rocky mountain bogland, on S-facing tributary of Caha river. Circle of eight orthostats, delimiting area 8.5m in diameter. Immediately within circle is fosse (D c. 0.5m; Wth 1m - 2m). Enclosed area level, contains three recent pit"
62,CO12883,MUSC,CO095-016----,CORK,KNOCKNANEIRK,5,R108773,537051.000000000000000,562677.000000000000000,51.812802040999998,-8.912952454999999,Stone circle - multiple-stone, ,'Stone Circle' (1904), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO095-016----,"In flat pasture, on N side of Bride River valley. Circle incomplete; may have consisted of nine stones. Seven erect stones along N perimeter remain; these include probable axial stone and entrance stones. Orthostats are 0.9m to 1.5m, L 0.4m to 0.8m T and"
63,CO13538,MUSC,CO102-006001-,CORK,ARDGROOM OUTWARD,5,R101027,470849.000000000000000,555407.000000000000000,51.736115509000001,-9.869969810000001,Stone circle - multiple-stone, ,'Stone Circle' (1901), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO102-006001-,"On level moorland, at foot of Coomacloghare mountain, on N side of Beara peninsula. Circle consists of eleven stones, one now prostrate, another missing. Stones, including axial stone, are tall pillars 0.4m to 0.9m L, 0.25m to 0.3m T and 1.3m to 2.1m H."
64,CO13548,MUSC,CO102-010----,CORK,ARDGROOM OUTWARD,5,R101066,471861.000000000000000,556538.000000000000000,51.746509328000002,-9.855741823000001,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO102-010----,"At E end of low ridge overlooking Kenmare river; 1.5km NE of multiple stone circle (CO102-00601-). Three stones, axial stone and those flanking it, are all that survive, measuring 1m to 2.4m L, 0.25m to 0.3m T and 1.3m to 1.6m H. Not possible to determin"
65,CO13703,MUSC,CO104-027001-,CORK,KEALAGOWLANE,5,R100937,487577.000000000000000,552346.000000000000000,51.712213595000001,-9.626891457999999,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO104-027001-,"On a terrace on a S-facing slope of Sugar Loaf mountain, overlooking Bantry Bay to the S. This stone circle is incomplete: it may have consisted of eleven stones of which four are upright or leaning and seven prostrate or displaced. Orthostats are 0.57m"
66,CO13713,MUSC,CO105-003----,CORK,DROMKEAL (Bantry By.),5,R107100,500291.000000000000000,554524.000000000000000,51.734189305999998,-9.443595373000001,Stone circle - multiple-stone, ,'Stones' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO105-003----,"On slight NW-facing slope at inner end of Bantry Bay, c. 400m E of mouth of Coomhola river. Circle incomplete; appears to have consisted of thirteen stones. Five standing along N perimeter; remainder prostrate. Orthostats are 0.6m to 1.25m L, 0.12m to 0."
67,CO13717,FISC,CO105-004004-,CORK,MILL LITTLE,5,R107188,498950.000000000000000,556682.000000000000000,51.753341997000000,-9.463630346000000,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO105-004004-,"In flat patch of rough pasture, c. 50m W of Cooleenlemane river. Circle complete; entrance stones, set end-on to circumference, are broken; only stumps remain. The five orthostats are 0.6m to 1m L, 0.15m to 0.2m T and the three intact stones are 0.75m to"
68,CO13749,MUSC,CO105-029001-,CORK,CAPPANABOUL,5,R107045,503404.000000000000000,553334.000000000000000,51.724040004000003,-9.398209754000000,Stone circle - multiple-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO105-029001-,"On small platform on bog-covered SW extension of Maughanaclea hills overlooking Owenbeg river basin. Circle incomplete; appears to have consisted of thirteen stones. Ten survive, two of these prostrate. Orthostats are 0.5m to 1.3m L, 0.2m to 0.4m T and 0"
69,CO13792,MUSC,CO106-005001-,CORK,BREENY MORE,5,R107132,505044.000000000000000,555318.000000000000000,51.742149824000002,-9.375019526000001,Stone circle - multiple-stone,Not indicated,'Gallauns' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO106-005001-,"In pasture, on a platform on a NW-facing slope on the S side of Owvane river valley. Circle represented by two entrance stones and an axial stone, measuring 1.1m to 1.6m L, 0.4m to 0.6m T and 1m to 2m H. Two prostrate slabs on the perimeter may be displa"
70,CO13797,FISC,CO106-006001-,CORK,KEALKILL,5,R107141,505353.000000000000000,555654.000000000000000,51.745221643000001,-9.370637791000000,Stone circle - five-stone, ,'Gallauns' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO106-006001-,"On level bog-covered shoulder, on NW-facing slope of W end of Maughanaclea Hills. Excavated in 1938 (O Ríordáin 1939, 46-49). Circle complete; stones are 0.7m to 1.65m L, 0.25m to 0.45m T and 0.65m to 1.2m H. Internal measurement along main axis, align"
71,CO13809,FISC,CO106-014001-,CORK,MAUGHANACLEA,5,R107173,508909.000000000000000,556364.000000000000000,51.752191562999997,-9.319342220999999,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO106-014001-,"On level shoulder on N slopes of Maughanaclea hills, overlooking Owngar river valley. Circle complete; axial stone split, leans inwards. Stones are 0.7m to 0.9m L, 0.3m to 0.5m T and 0.4m to 0.85m H. Internal measurement along main axis, aligned ENE-WSW,"
72,CO13811,MUSC,CO106-016001-,CORK,MAUGHANACLEA,5,R107180,510439.000000000000000,556532.000000000000000,51.753948000000001,-9.297231474000000,Stone circle - multiple-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO106-016001-,"In pasture on shoulder on N slopes of Maughanaclea hills, overlooking Owngar river valley. Circle appears to have consisted of thirteen stones. Twelve survive, five of which, including S entrance stone are prostrate. Orthostats are 0.7m to 2.1m L, 0.3m t"
73,CO13816,FISC,CO106-019----,CORK,DERRYARKANE,5,R107074,505152.000000000000000,553755.000000000000000,51.728121733999998,-9.373030304000000,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO106-019----,"On level shoulder on SE-facing slope of Mealagh river valley. Circle complete; N entrance stone prostrate. Orthostats are 1m to 1.2m L, 0.5m T and 1m to 1.2m H. Beside and to S is spread of stones c. 8m in diameter; possible field clearance. Standing sto"
74,CO13941,FISC,CO107-024----,CORK,CULLENAGH (Carbery E. (W.D.) By.),5,R106987,515001.000000000000000,552027.000000000000000,51.714170736000000,-9.230071024000001,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO107-024----,"In pasture, in valley c. 50m E of headwater of Clodagh river. Possible five-stone circle; axial-stone and flanking stone survive. Former is 0.65m L, 0.35m T and 0.85m H. Latter is 0.75m L, 0.75m T and 1.2m H. Main axis appears to have been aligned E-W."
75,CO13929,FISC,CO107-012----,CORK,INCHIREAGH,5,R107176,518946.000000000000000,556435.000000000000000,51.754371343000003,-9.174019995000000,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO107-012----,"In rolling pasture, on S side and near headwaters of Bandon river. Circle complete; N entrance stone fallen inwards, interior filled with field stones. Orthostats are 0.6m to 1m L, 0.35m to 0.5m T and 0.6m to 0.9m H. Internal measurement along main axis,"
76,CO14602,MUSC,CO114-002----,CORK,COULAGH,5,R100820,463162.000000000000000,549296.000000000000000,51.679390863999998,-9.978802009000001,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO114-002----,"In flat pasture at NW foot of Miskish mountain c. 400m from coast, on N side of Beara peninsula. Two orthostats, 1.3m apart; four or five prostrate slabs indicate circle c. 8.5m in diameter. Erect stones have marked entrance. W stone measures 1.1m by 0.4"
77,CO14743,MUSC,CO115-011002-,CORK,DERREENATAGGART WEST,5,R100642,466526.000000000000000,546377.000000000000000,51.653974607999999,-9.929071050999999,Stone circle - multiple-stone, ,'Gallauns' (1901), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO115-011002-,"On level patch of rough pasture on SE slopes of Miskish mountain. Circle incomplete; may have consisted of fifteen stones. Twelve survive, three of these prostrate. Orthostats are 0.4m to 2.4m L, 0.15m to 0.3m T and 1.25m to 1.9m H. Internal measurement"
78,CO15480,MUSC,CO121-100----,CORK,"AHAGILLA (Ibane and Barryroe By., Castleventry Par.)",5,R106515,533344.000000000000000,543627.000000000000000,51.641148667000003,-8.963061681999999,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-100----,"In pasture, just off crest of hill which overlooks headwaters of Argideenriver. Circle incomplete, contains considerable amount of field clearance.Three stones survive including axial stone, S entrance stone and anotherflanking it to S. Orthostats are 0."
79,CO14943,FISC,CO116-006----,CORK,DROMGARVAN,5,R100861,480776.000000000000000,550252.000000000000000,51.691994692999998,-9.724547466000001,Stone circle - five-stone, ,'Cromlech (1897)', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO116-006----,"Stands less than 100m from shore, at inner end of Adrigole harbour SE of mouth of Adrigole river. Circle complete; stones other than axial stone in inclined positions. Stones are 0.9m to 1.6m L, 0.15m to 0.5m T and 0.7m to 1.9m H. Internal measurement al"
80,CO15078,FISC,CO118-042----,CORK,BAURGORM,5,R106648,501506.000000000000000,546056.000000000000000,51.658304954000002,-9.423620209999999,Stone circle - five-stone, ,'Gallain' (1944), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO118-042----,"In level pasture in basin of headwater of Durrus river. One of the five stones, the N entrance stone, has fallen. Others are 0.9m to 1.4m L, 0.4m to 0.5m T and 0.8m to 1.25m H. Internal measurement along main axis, aligned NE-SW, is c. 2.5m. Prostrate st"
81,CO15081,FISC,CO118-044002-,CORK,BAURGORM,5,R106711,502285.000000000000000,547013.000000000000000,51.667041204999997,-9.412631808000000,Stone circle - five-stone, ,'Stone Circle' (1944), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO118-044002-,"On small level patch of moorland on NE side of saddle between Spratt Hill and Knockaveagh. One of five stone fallen; others are 0.8m to 1.1m L, 0.15m to 0.3m T and 1m to 1.3m H. Entrance stones set unusually far apart. Internal measurement along main axi"
82,CO15125,FISC,CO118-073001-,CORK,CULLOMANE EAST,5,R106620,503600.000000000000000,545462.000000000000000,51.653329675000002,-9.393199820000000,Stone circle - five-stone, ,'Galláin' (1944), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO118-073001-,"In pasture, on level patch of ground on E slopes of Spratt Hill. Circle complete; two stones embedded in fence. Stones are 1.1m to 1.5m L, 0.5m to 0.7m T and 1m to 1.2m H. Internal measurement along main axis, aligned NE-SW, is 3.9m. Interior filled with"
83,CO15408,FISC,CO121-035----,CORK,LETTERGORMAN,5,R106626,526174.000000000000000,545666.000000000000000,51.658579949999996,-9.067067378000001,Stone circle - five-stone, ,'Gallauns' (1900), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-035----,"On shoulder of S-facing hill slope, N of Glashagloragh river. Circle complete; N entrance stone has fallen; interior filled with field stones. Orthostats are 0.7m to 1.7m L, 0.15m to 0.6m T and 1m to 1.4m H. Internal measurement along main axis, aligned"
84,CO15596,MUSC,CO122-076----,CORK,TEMPLEBRYAN NORTH,5,R107975,538866.000000000000000,543784.000000000000000,51.643187005000001,-8.883316614000000,Stone circle - multiple-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO122-076----,"On level ground, in rolling pasture, c. 500m S of Argideen river. Circle consisted of nine stones. Four upright and one fallen stone remain; these include possible axial and entrance stones. Orthostats are 1.1m to 1.6m L, 0.5m to 1m T and 1.4m to 2m H. I"
85,CO15154,FISC,CO119-005----,CORK,TRAWLEBANE,5,R106778,504175.000000000000000,547806.000000000000000,51.674493161999997,-9.385534873999999,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO119-005----,"On level terrace on S-facing slope, in valley of Owennashingaun river. Circle complete; S entrance stone split; interior filled with field stones. Stones are 0.8m to 1.5m L, 0.2m to 0.4m T and 0.7m to 1.1m H. Internal measurement along main axis, aligned"
86,CO15185,FISC,CO119-032----,CORK,INCHYBEGGA,5,R106651,504792.000000000000000,546070.000000000000000,51.658996784000003,-9.376143594000000,Stone circle - five-stone, ,'Stone Circle' (1944), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO119-032----,"In level pasture, on saddle between Maunvaugh hill and lower ridge to S, overlooking Owennashingaun river basin to E. Axial stone missing, interior of circle filled with field stones. Orthostats are 0.6m to 1m L, 0.3m to 0.4m T and 0.4m to 0.6m H. Estima"
87,CO15287,FISC,CO120-001002-,CORK,CLODAGH,5,R106887,515340.000000000000000,550040.000000000000000,51.696364066000001,-9.224684025000000,Stone circle - five-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO120-001002-,"In pasture, on shoulder of NW-facing lower slopes of Milane hill. Circle complete; interior filled with field stones. Stones are 0.9m to 1.15m L, 0.3m to 0.7m T and 0.7m to 1.3m H. Internal measurement along main axis,aligned NE-SW, is 2.7m. Pair of stan"
88,CO15361,MUSC,CO120-062----,CORK,GARRYGLASS,5,R106609,522254.000000000000000,545286.000000000000000,51.654636224000001,-9.123630417999999,Stone circle - multiple-stone, ,'Stone Circle' (1902), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO120-062----,"In rough pasture on N-facing slope 1.4km SW of Curraghalicky lake. One stone stands at site of monument, 0.9m L, 0.4m T and 0.4m H. OS Name Book (1841) records ....'a druidical circle here consisting of eleven stones placed in a ring about a central one"
89,CO15430,FISC,CO121-054----,CORK,CARRIGAGRENANE,5,R106524,525876.000000000000000,543768.000000000000000,51.641481622000001,-9.070971691000000,Stone circle - five-stone, ,'Gallauns' (1900), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-054----,"In pasture, at foot of hill, at head of Ardigeen river valley. Probable five-stone circle; axial stone and N flanking stone survive. Former is 1.5m L, 0.4m T and 0.9m H; latter 0.8m L, 0.6m T and 1m H. Main axis probably lay NE-SW. Two other stones, lean"
90,CO15433,MUSC,CO121-057----,CORK,MAULATANVALLY,5,R106544,526300.000000000000000,544281.000000000000000,51.646148156000002,-9.064954746000000,Stone circle - multiple-stone, ,'Stone Circle' (1900), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-057----,"On small level patch of pasture among hillocks of outcropping rocks. Circle incomplete; may have consisted of eleven stones. Seven orthostats survive, including axial and S radially-set entrance stone. They are 0.8m to 1.6m L, 0.15m to 0.5m T and 0.3m to"
91,CO15435,FISC,CO121-059001-,CORK,GLANBRACK,5,R106559,527107.000000000000000,544488.000000000000000,51.648113829000003,-9.053338963000000,Stone circle - five-stone, ,'Gallauns' (1900), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-059001-,"In level pasture S of crest of ridge between valleys of Glashagloragh river to N and Argideen river to S. Circle incomplete; axial stone and two stones flanking it survive. They are 0.9m to 1.6m L, 0.2m to 0.5m T and 0.6m to 0.95m H. Main axis appears to"
92,CO15441,MUSC,CO121-063----,CORK,KNOCKS (Carbery East (W.D) By.),5,R106628,529910.000000000000000,545710.000000000000000,51.659453571000000,-9.013086080000001,Stone circle - multiple-stone, ,'Stone Circle' (1900), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-063----,"In level ground in rolling pasture of headwaters of Ihernagh river of Argideen river. Ten of eleven stones survive, including axial stone and two radially-set entrance stones. Orthostats are 0.5m to 1.2m L, 0.2m to 0.7m T and 0.6m to 1.1m H. Internal mea"
93,CO15445,MUSC,CO121-067----,CORK,KNOCKS (Carbery East (W.D) By.),5,R106553,530188.000000000000000,544359.000000000000000,51.647345211999998,-9.008798891000000,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-067----,"On level ground in valley and 100m N of Argideen river. Circle incomplete; may have consisted of nine, or possibly eleven stones. Five orthostats survive, including axial stone and radially-set entrance stone. These are 0.65m to 1.6m L, 0.2m to 0.7m T an"
94,CO16046,MUSC,CO130-016----,CORK,GORTEANISH,5,R100441,486075.000000000000000,539733.000000000000000,51.598572875999999,-9.644509442000000,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO130-016----,"Situated in an area of outcropping rock with dense furze and brambles, overlooking Dunmanus Bay to the S. The monument was cleared of vegetation on rediscovery in 1995 (see Power et al. 1992, 43). The circle is incomplete: four erect and seven prostrate"
95,CO16065,MUSC,CO130-030----,CORK,DUNBEACON,5,R100435,492679.000000000000000,539272.000000000000000,51.595726704000000,-9.549078281000000,Stone circle - multiple-stone, ,'Stone Circle' (1901), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO130-030----,"On W shoulder of Mount Corrin, near inner S end of Dunmanus Bay. Circle incomplete; six erect and five prostrate stones indicate circle of eleven stones. Orthostats are 0.8m to 1.3m L, 0.15m to 0.5m T and 1.6m to 1.9m H. Internal diameter of circle is c."
96,CO16364,MUSC,CO134-008----,CORK,CARRIGAGRENANE,5,R106495,525379.000000000000000,543285.000000000000000,51.637074745000000,-9.078048219999999,Stone circle - multiple-stone, ,'Stone Circle' (1903), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO134-008----,"In pasture, at E foot of Carrigfadda hill. Circle incomplete; fence on W perimeter may conceal some orthostats. Appears to have consisted of nineteen stones. Thirteen stones survive, one prostrate. Entrance stones radially set; in line with these externa"
97,CO16396,MUSC,CO134-032----,CORK,REANASCREENA SOUTH,5,R106397,526364.000000000000000,541129.000000000000000,51.617826377000000,-9.063367424999999,Stone circle - multiple-stone, ,'Stone Circle' (1903), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO134-032----,"On level patch of ground near top of low rounded hill. Excavated in 1961 (Fahy 1962, 59-69). Circle complete comprising thirteen stones. They are 0.65m to 1.1m L, 0.35m to 0.7m T and 0.85m to 1.5m H. Internal measurement along main axis, aligned ENE-WSW,"
98,CO16488,MUSC,CO135-005001-,CORK,BALLYVACKEY,5,R106467,534349.000000000000000,542734.000000000000000,51.633240284999999,-8.948375920000000,Stone circle - multiple-stone, ,'Stone Circle' (1943), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO135-005001-,"In low flat pasture in basin of Feagle river, c 100m N of site. Circle incomplete; appears to have consisted of nine stones. Seven survive including S radially-set entrance stone and axial stone (flat topped and largest of group). Stones ar 0.7m to 1.6m"
99,CO17384,MUSC,CO143-032001-,CORK,BOHONAGH,5,R106162,530715.000000000000000,536920.000000000000000,51.580547140000000,-8.999714783000000,Stone circle - multiple-stone, ,'Stone Circle' (1943), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO143-032001-,"On level patch of ground on S-facing slope 1.5km N of Rosscarbery bay. Group of monuments, excavated in 1959 (Fahy 1961, 93-104) also comprises boulder-burial (CO143-032003-) and hut site (CO143-032004-). Excavation revealed that circle consisted of thir"
100,CO17415,MUSC,CO143-051002-,CORK,DROMBEG (Carbery E. (W.D.) By.),5,R106033,524637.000000000000000,535229.000000000000000,51.564568753000003,-9.087035449000000,Stone circle - multiple-stone, ,'Stone Circle' (1944), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO143-051002-,"In pasture on natural rock terrace on S slope of low hill. Circle excavated 1957 (Fahy 1959, 1-27); and nearby fulacht fiadh (CO143-051002-) and hut site (CO143-051001-) in 1958 (Fahy 1960, 1-17). Circle consisted of seventeen stones; two missing and one"
101,CO18574,FISC,CO039-242----,CORK,KILMEEDY WEST,5,R110190,524563.000000000000000,588577.000000000000000,52.044031539000002,-9.099708924000000,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO039-242----,Situated on a bog-covered saddle of the NE fringe of the Derrynasaggart Mountains rising to Claragh Mountain to the NE and overlooking the Blackwater valley to the NW. The stone circle is incomplete: two upright stones stand 1.27m apart. The W stone (1.1
102,CV00295,STCI,CV013-026002-,CAVAN,KILLYCLUGGIN,3,R170914,623936.000000000000000,815802.000000000000000,54.090756839999997,-7.634124373000000,Stone circle, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV013-026002-,"Situated 10m WNW of the site of the celebrated Killycluggin Stone (93). Much disturbed. Subcircular raised area (int. dims. 22m E-W; 18.6m N-S) enclosed by a total of eighteen stones, all but five of which have fallen. The site is divided into two unequa"
103,CV00314,STCI,CV013-041----,CAVAN,KILNAVERT,3,R170905,623466.000000000000000,815659.000000000000000,54.089493523999998,-7.641319521000000,Stone circle, ,'Stone circle', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV013-041----,Not marked on OS 1836 or 1876 eds. This monument is situated on a ridge which has been planted with coniferous trees. Slightly raised circular area (int. dims. 11.8m NE-SW; 10.9m NW-SE) defined by sixteen squat irregularly shaped boulders. There is a lar
104,CV00315,STCI,CV013-042----,CAVAN,LISSANOVER,3,R170920,622895.000000000000000,815908.000000000000000,54.091756646000000,-7.650028310000000,Stone circle, ,'Stone circle', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV013-042----,Not marked on OS 1836 or 1876 eds. Situated on the NNW shoulder of a low rise. All that remains of the site is a heap of small stones containing one large partly buried recumbent stone (H 0.9m; dims 2.25m x 0.7m) with two smaller heaps of small stones 11
105,CV01201,STCI,CV026-004001-,CAVAN,BANAGHER,3,R168144,646565.000000000000000,799800.000000000000000,53.945426552999997,-7.290699441000000,Stone circle,Indicated,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV026-004001-,"One of a complex of burial and ritual sites which occupy an area 150m by 130m on a patch of uneven elevated pasture overlooked from the NW by Slieve Glah (CV026-004004-, CV026-004003-, CV026-004006-, CV026-004002-, CV026-004005-). Stone circle (int, diam"
106,CV01203,STCI,CV026-004003-,CAVAN,BANAGHER,3,R168144,646615.000000000000000,799743.000000000000000,53.944909889999998,-7.289946580000000,Stone circle,Not indicated,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV026-004003-,"A component of the aforementioned complex of ritual sites (CV026-004004-, CV026-004001-, CV026-004006-, CV026-004002-, CV026-004005-). Large stone circle (int. dims. 40m E-W x 35m N-S) comprising twelve stones, five now upright measuring between 0.65m an"
107,DG00353,STCI,DG012-004----,DONEGAL,GLACKADRUMMAN,7,R177478,654135.000000000000000,947559.000000000000000,55.272167171000000,-7.148123765000000,Stone circle, ,'Druidical Circle' (1903), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG012-004----,"Known as the Bocan stone circle the site now consists of seven standing stones, 1m-2m high, and a few fallen and broken stones partially enclosing a subcircular area c. 20m in diameter. The stones are all concentrated in the NW and SE quadrants. Shaw Mas"
108,DU02179,STCI,DU025-046----,DUBLIN,BALLYEDMONDUFF,9,R149223,718524.000000000000000,721756.000000000000000,53.232952476000001,-6.224632732000000,Stone circle, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DU025-046----,"Situated on the lower S slopes of Two Rock Mountain. A stone circle comprised of a circular area defined by seven orthostats (H c. 1m) and ten more stones only partially exposed. This site was first identified by Healy in 1967 (1975, 1-19). Unfortunately"
109,DG00591,STCI,DG020-003----,DONEGAL,AN CHEATHRÚ RIABHACH (TC Gleann Ó gCeanann),7,R177310,649439.000000000000000,940496.000000000000000,55.209211570999997,-7.223250586000000,Stone circle, , , https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG020-003----,"An arc of 6 stones, revealed by turf cutting, which may represent the E through S to SW sectors of a stone circle. The largest stone is 1m high × 0.9m wide × 0.2m thick. The smallest stone is .3m high × 0.8m wide × 0.15m thick. There appears to be an"
110,DG01006,STCI,DG037-013001-,DONEGAL,RÁITH (TC Gleann Eala),7,R176881,626583.000000000000000,926245.000000000000000,55.082938478000003,-7.583667250000000,Stone circle, , , https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG037-013001-,"In the vicinity of a holy well, Boyle Somerville (1909, 228-9) noted a number of 'megalithic and other prehistoric remains'. These included 'three small stone earns' a large rounded mound, 'half of the circumference of a circle of very large stones', and"
111,DG01011,STCI,DG037-016----,DONEGAL,RÁITH (TC Gleann Eala),7,R176862,625967.000000000000000,925304.000000000000000,55.074517032000003,-7.593400284000000,Stone circle, , , https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG037-016----,"A previous account (Boyle-Somerville 1909, 224-5) notes a 'prehistoric circle' on Ray Point. This survives as a low grass-covered mound, 10-11m in diameter, and composed of earth and stones. Its archaeological significance is uncertain. Situated on level"
